"x"
"1";9.25
"2";10.44
"3";9.83
"4";12.24
"5";13.59
"6";13.72
"7";10.82
"8";13.06
"9";7.69
"10";4.25
"11";6.82
"12";15.37
"13";11.2
"14";10.07
"15";6.93
"16";9.09
"17";10.04
"18";10.63
"19";8.25
"20";6.83
"21";9.19
"22";3.72
"23";6.79
"24";10.73
"25";7.28
"26";7.65
"27";8.21
"28";13.21
"29";4.81
"30";11.3
"31";13.2
"32";7.46
"33";11.72
"34";10
"35";10.52
"36";6.57
"37";12.93
"38";12.32
"39";6.86
"40";11.44
"41";12.67
"42";8.51
"43";10.08
"44";10.19
"45";3.38
"46";9.09
"47";9.91
"48";7.86
"49";13.06
"50";12.17
"51";8.95
"52";9.16
"53";7.61
"54";10.41
"55";6.98
"56";9.03
"57";10.44
"58";9.98
"59";10.14
"60";13.11
"61";5.88
"62";8.74
"63";6.95
"64";12.56
"65";8.04
"66";8.25
"67";9.06
"68";13.48
"69";9.49
"70";9.16
"71";8.15
"72";7.25
"73";9.42
"74";15.02
"75";11.06
"76";11.99
"77";9.96
"78";11.94
"79";12.75
"80";10.85
"81";7.04
"82";9.17
"83";11.97
"84";6.88
"85";17.2
"86";11.87
"87";7.15
"88";5.07
"89";16.1
"90";5.96
"91";8.81
"92";12.73
"93";13.88
"94";15.41
"95";7.73
"96";9.31
"97";8.04
"98";13.6
"99";5.38
"100";10.52
"101";NA
"102";NA
"103";NA
"104";NA
"105";NA
"106";NA
"107";NA
"108";NA
"109";NA
"110";NA
"111";NA
"112";NA
"113";NA
"114";NA
"115";NA
"116";NA
"117";NA
"118";NA
"119";NA
"120";NA
"121";NA
"122";NA
"123";NA
"124";NA
"125";NA
"126";NA
"127";NA
"128";NA
"129";NA
"130";NA
"131";NA
"132";NA
"133";NA
"134";NA
"135";NA
"136";NA
"137";NA
"138";NA
"139";NA
"140";NA
"141";NA
"142";NA
"143";NA
"144";NA
"145";NA
"146";NA
"147";NA
"148";NA
"149";NA
"150";NA
"151";NA
"152";NA
"153";NA
"154";NA
"155";NA
"156";NA
"157";NA
"158";NA
"159";NA
"160";NA
"161";NA
"162";NA
"163";NA
"164";NA
"165";NA
"166";NA
"167";NA
"168";NA
"169";NA
"170";NA
"171";NA
"172";NA
"173";NA
"174";NA
"175";NA
"176";NA
"177";NA
"178";NA
"179";NA
"180";NA
"181";NA
"182";NA
"183";NA
"184";NA
"185";NA
"186";NA
"187";NA
"188";NA
"189";NA
"190";NA
"191";NA
"192";NA
"193";NA
"194";NA
"195";NA
"196";NA
"197";NA
"198";NA
"199";NA
"200";NA
